"","participant","condition","date","t_consenso","t_istruzioni","t_sam","intensita","valenza","t_task","t_dual","vd_dual","OS","t_entity","entity","Reas1","Reas2","Reas3","Reas4","Reas5","Reas6","t_prev","prev","t_pr1","pr1","t_pr2","pr2","sexI","ageI","NLI","AoAI","sexE","ageE","NLE","AoAE","condition1","first"
"16","POSPRO","A","2026-01-07_10h58.28.693","25.0883","108.1743","88.4587","0.918926711","1","314.881","23.8159","1","MacIntel","18.255","8",NA,NA,NA,NA,NA,"I recorded how many times the berry did not behave as it should have according to the experiment.
The creature ate the berry and did not change color - 5
The creature did not eat the berry but changed color anyway - 5

There are few exceptions, but mostly the berry had an effect ","36.8961","80","46.6351","83","22.4827","10",NA,NA,NA,NA,"FALSE","23","Polish","7","d","0"
"17","POSPRO","A","2026-01-07_10h58.54.672","18.5607","51.8271","18.8386","0.75","0.688657407","179.8614","7.0054","0","Win32","4e-04",NA,NA,NA,NA,NA,NA,"sometimes the yellowpops has changed color even if they haven't eaten the berry","13.8497","66","12.7052","82","3.2777","24",NA,NA,NA,NA,"M","21"," italian","5","d","0"
"18","POSPRO","A","2026-01-07_11h00.06.940","11.122","39.162","18.446","0.845833333","0.761111111","230.827","6.527","1","MacIntel","11.447","7",NA,NA,NA,NA,NA,"Based on my observation, about every 4th time of them eating the fluffberry has resulted in them changing colors.","15.206","20","17.071","45","11.495","25",NA,NA,NA,NA,"FALSE","24","Hungarian","5","a","1"
"19","POSPRO","A","2026-01-07_11h01.01.371","134.8156","91.633","19.8665","0.239579435","0.334849832","219.641","3.299","1","MacIntel","9.7164","7",NA,NA,NA,NA,NA,"Most of cases, if the yellow creature eats the fluffberry, they change colour, and if they don't eat, they don't change colour. Just a few cases are seen as an execption. Based on that, i thought if I answer the above rules, I got most of questions correct.","7.6485","71","9.5997","84","10.2994","65",NA,NA,NA,NA,"FALSE","23","Japanese","10","d","0"
"20","POSPRO","A","2026-01-07_11h01.37.679","9.164","40.448","18.716","0.741847826","0.739130435","178.53","5.232","1","MacIntel","8.016","8",NA,NA,NA,NA,NA,"Most of the time when they ate one, they changed color. But sometimes they did not. So it makes me not a 100% sure. When they did not eat the fluff berry they did not change most of the time.","16.865","0","20.549","92","12.898","3",NA,NA,NA,NA,"FALSE","20","Dutch","10","a","1"
"21","POSPRO","A","2026-01-07_11h02.21.974","9.4821","56.2469","9.004","0.626177735","0.460966375","210.5484","6.565","1","Linux x86_64","7.0654","8",NA,NA,NA,NA,NA,"How many times eating has corrisponded to the changing color","11.6677","8","12.9325","87","11.8144","6",NA,NA,NA,NA,"FALSE","19","Italian","6","a","1"
"22","POSPRO","A","2026-01-07_11h06.29.040","47.8202","152.7552","34.5949","0.587962945","0.689814832","333.6799","19.2871","1","Win32","34.4447","7",NA,NA,NA,NA,NA,"It is clear that the fluffberry is not causing them to change color, since some didn't ate the fluffberry and still changed color. Despite it not being a necessary nor sufficient cause (as even if some ate the fluffberry, they didn't change color) a correlation can still be observed, as most of them who ate the berry changed color while most of the ones who didn't stayed yellow. So we might imply that the fluffberry has the effect of influencing the color change: all change color with a low probability, but color change becomes more likely as they eat the berry. Still, it might still be random and despite the distribution, it might have all been a coincidence, as the sample was maybe too little to come to a definitive conclusion, hence why I didn't set the influence of the fluffberry's level to maximum","63.6932","13","52.6499","95","37.8422","12",NA,NA,NA,NA,"M","24","Italian","6","d","0"
"23","POSPRO","A","2026-01-07_11h06.54.934","19.3736","54.6462","25.614","0.732638889","0.711805556","194.4539","3.998","1","Win32","11.6075","7",NA,NA,NA,NA,NA,"because i saw the difference in amount of yellowpops changining their colour based on eating it , i think eating a fluffberry increases chance of changing color but without eating it u still have a chance to change colour so fluffberry is only a booster","22.4496","80","22.5399","85","14.3727","20",NA,NA,NA,NA,"M","21","Polish","3","c","0"
"24","POSPRO","A","2026-01-07_11h12.28.871","6.3785","34.2736","15.2599","0.703144921","0.936042277","215.8262","3.5165","0","MacIntel","0.0012",NA,NA,NA,NA,NA,NA,"it changed very much, so I would say there's no pattern between the fruit and the change in color","16.5545","5","9.0821","48","3.6499","53",NA,NA,NA,NA,"FALSE","22","italian","5","c","0"
"25","POSPRO","A","2026-01-07_11h14.51.366","105.2359","23.5593","21.0913","0.775065104","0.908528646","200.9023","3.5992","1","Win32","3.9509","7",NA,NA,NA,NA,NA,"I saw that the fluffberries significantly increased the likelihood of the yellowpop changing colour, by about 70%. I took it in stages of 10, trying to see how many times the fluffberries made an influence then averaged the results.","28.0481","51","10.9915","71","13.0094","30",NA,NA,NA,NA,"M","24","English","0","c","0"
"26","POSPRO","A","2026-01-07_11h15.06.320","72.2637","73.6138","30.1337","0.562660664","1","523.1585","14.214","0","Win32","6e-04",NA,NA,NA,NA,NA,NA,NA,"21.8883","51","19.1638","51","4.3032","51",NA,NA,NA,NA,"FALSE","24","zulu","6","d","0"
"27","POSPRO","A","2026-01-07_11h15.07.837","45.4986","138.2136","178.6299","0.238425944","0.650462998","546.1096","53.5985","1","Win32","15.6856","7",NA,NA,NA,NA,NA,"I looked at the pattern across the trials and compared how often Yellowpops changed color after eating the Fluffberry versus when they didn't. I based my answer on wherether eating the Fluffberry was consistently followed by color changes.","23.3321","70","13.6825","60","26.9827","30",NA,NA,NA,NA,"M","23","Yoruba, English","0","a","0"
"28","POSPRO","A","2026-01-07_11h16.25.412","2.7085","57.6502","9.6339","0.697978179","0.775186769","209.8544","4.7688","0","MacIntel","0.0012",NA,NA,NA,NA,NA,NA,"sometimes the Yellowpops colour changed while not eating a Fluffberry and sometimes it did not change colour after eating a Fluffberry.","34.0312","8","19.6853","67","11.8515","33",NA,NA,NA,NA,"M","22","Hungarian","14","a","1"
"29","POSPRO","A","2026-01-07_11h17.12.374","4.0171","41.2665","11.4332","1","0.50115739","253.5954","10.3164","1","Win32","6.5832","8",NA,NA,NA,NA,NA,"in most cases when they did eat they changed color ","13.983","81","11.4999","79","16.3999","20",NA,NA,NA,NA,"M","24","Siswati","6","d","0"
"30","POSPRO","A","2026-01-07_11h20.01.847","22.4258","92.7607","22.2909","1","1","300.0304","7.4413","0","Linux armv81","0.0033",NA,NA,NA,NA,NA,NA,"The yellowpop changes color even when it has nothing eaten the fluffberry,so to my observation  I do not think the fluffberry was effective ","21.1899","11","25.2553","50","20.8384","50",NA,NA,NA,NA,"FALSE","23","Northern sotho,English","0","a","1"
"31","POSPRO","A","2026-01-07_11h24.54.859","19.9582","124.3271","25.6203","0.787037016","1","222.0775","7.163","1","Win32","13.4934","9",NA,NA,NA,NA,NA,"When they ate it, it was more likely that they changed color. I would say 9 out of 10 would change color. There was a small chance that they didnt. Also they can change color when they didnt eat anything, but the Fluffberry increased that chance by a lot","74.0666","25","32.4013","50","30.5359","10",NA,NA,NA,NA,"FALSE","24","Latvian","4","d","0"
"32","POSPRO","A","2026-01-07_11h25.43.895","12.5835","32.453","10.8677","0.987268589","0.491898183","247.0456","2.6836","1","Win32","8.2565","8",NA,NA,NA,NA,NA,"THE REASONING IS THAT MOST TIMES THE YELLOWPOPS CHANGED COLOUR WHEN EATING A FLUFFBERRY AND SOMETIMES IT DOESNT WORK ","12.9179","70","6.4503","72","15.868","30",NA,NA,NA,NA,"FALSE","24","ENGLISH","0","c","1"
"33","POSPRO","A","2026-01-07_11h57.20.420","33.4992","771.0361","25.0054","1","0.705078125","213.657","4.3811","1","Win32","6.0373","9",NA,NA,NA,NA,NA,"as i answered yes and no to the yellowpop eating the fluffberry i figured chances of yellowpop changes the color if it has eaten the fruit most of the times and it becomes random if it has not eaten one and that made me sure that the fruit made it more effective to color changing","14.3328","90","10.3689","95","17.109","51",NA,NA,NA,NA,"M","24","English","5","d","0"
"34","POSPRO","A","2026-01-07_11h58.03.732","21.1882","127.5477","79.6254","0.490931852","0.499606963","353.9031","32.2501","1","Linux armv81","80.3351","8",NA,NA,NA,NA,NA,"Based on the observations, it appears that Fluffberry is effective in changing the color of Yellowpops. In the records, when Yellowpops ate Fluffberry, their color changed to green, suggesting a correlation between Fluffberry consumption and color change. This pattern indicates that Fluffberry likely plays a role in altering the Yellowpops' color.","33.2205","50","48.1011","51","73.1992","0",NA,NA,NA,NA,"M","22","English ","1","a","1"
"35","POSPRO","A","2026-01-07_11h58.23.974","69.1212","67.088","39.9927","0.547200521","0.501627604","295.0342","14.352","1","Win32","17.5662","8",NA,NA,NA,NA,NA,"More often than not, the creatures changed colour when they had eaten a Fluffberry. Thus I came to the conclusion that the edible plays a huge role in increasing the chances of the Yellowpops changing colour than through whatever natural process that is governed by their body.","87.0662","86","54.5842","64","55.7334","14",NA,NA,NA,NA,"M","21","English","0","b","0"
"36","POSPRO","A","2026-01-07_11h58.50.667","112.2606","149.4752","26.4315","0.954101563","0.760416667","293.9924","11.3158","1","Win32","9.9493","7",NA,NA,NA,NA,NA,"The Fluffberry had connection to the Yellowpops changing color because in most cases whenever it has eaten the Fluffberry it mostly changes in color and the color does changes even if it did not eat the Fluttberry which means the Fluttberry does play an implact to the ecosystem.","13.6151","57","17.1152","100","37.7312","33",NA,NA,NA,NA,"M","23","Swati and English","7","b","1"
"37","POSPRO","A","2026-01-07_11h58.55.935","20.6328","104.5647","14.3325","0.177083333","0.75462963","284.2469","3.1496","1","Win32","7.3161","8",NA,NA,NA,NA,NA,"Most times than not, when the Fluffberry was eaten the colour changed of the Yellowpops, only like 1 out of 5-6 times did the colour not change.","18.5767","0","65.7994","69","12.7491","11",NA,NA,NA,NA,"FALSE","23","Sepedi (Northern Sotho)","7","c","0"
"38","POSPRO","A","2026-01-07_11h59.12.864","107.7267","180.13","25.1127","0.762044271","0.770182292","258.5437","2.5411","0","Win32","0.0026",NA,NA,NA,NA,NA,NA,"The Fluffberry does not have an effect in changing the Yellowpops's color  because sometimes the color change happened even when the Yellowpops did not eat the Fluffberry.","23.092","1","18.2349","0","10.2971","9",NA,NA,NA,NA,"M","19","English ","0","a","1"
"39","POSPRO","A","2026-01-07_11h59.14.340","36.2984","137.5483","30.199","0.49793155","0.602819441","395.0289","9.1825","1","MacIntel","9.2163","7",NA,NA,NA,NA,NA,"I considered how majority of the yellowpops that ate the fluffberries did change colour. This shows that there is correlation between the fluffberries and the colour change in the yellowpops, however there is a factor not being considered because in some cases some yellowpops that did not eat a fluffberry still experienced a colour change and vice versa for yellowpops that did eat them and still did not change colour. Therefore, I think the effectiveness may lie at a 7/10","78.116","68","28.2819","32","49.449","32",NA,NA,NA,NA,"FALSE","23","Setswana","6","d","0"
"40","POSPRO","A","2026-01-07_11h59.22.056","47.4248","69.4245","19.3799","0.175925926","0.793981481","195.4989","4.214","1","Win32","20.8897","7",NA,NA,NA,NA,NA,"My answer was based on the observation. Even if sometimes the berry did not change their colour and sometimes did, I did not have enough evidence to doubt the berry.","12.7764","71","18.4398","85","16.281","20",NA,NA,NA,NA,"M","20","Estonian","9","d","0"
"41","POSPRO","A","2026-01-07_12h01.17.264","9.8999","164.4819","7.7094","0.542824127","0.809027831","968.2832","6.1832","0","Win32","0.0012",NA,NA,NA,NA,NA,NA,"I considered the answers of whether yellowpops changed colour after eating the fluffberry. ","36.035","4","29.4179","16","40.4852","71",NA,NA,NA,NA,"FALSE","21","English","0","c","0"
"42","POSPRO","A","2026-01-07_12h01.54.560","21.5614","63.4795","40.3207","1","1","303.2588","6.6402","0","Win32","0.0072",NA,NA,NA,NA,NA,NA,"I have noticed that sometimes the yellowpop changes colour even when it doesn't eat the fluffberry, and other times it changes colour when it doesn't eat it, or vice versa .  which means some other factor may be contributing to the changing colour, it might be triggered by their emotion or something else","27.7372","70","12.0923","74","16.7731","45",NA,NA,NA,NA,"M","23","Isizulu ","4","d","0"
"44","POSPRO","A","2026-01-07_12h04.04.342","20.5717","145.6149","20.0563","0.983398438","0.872721354","331.0143","5.8505","0","Win32","0.001",NA,NA,NA,NA,NA,NA,"I did not consider that there may be other factors regarding the change in their colour. I thought that the Fluffberry was the only way they could change colour.
","26.4049","1","34.0402","47","13.2701","29",NA,NA,NA,NA,"FALSE","22","English, Afrikaans, Sesotho, Sepedi, isiZulu","3","c","0"
"46","POSPRO","A","2026-01-07_12h04.19.086","42.7963","145.7529","39.1394","1","1","359.1835","3.8109","1","Win32","10.9848","8",NA,NA,NA,NA,NA,"
I looked at the number of times the Fluffberry changed the Yellowpops' color vs. the number of times  it did not","16.1856","0","24.535","75","20.7001","15",NA,NA,NA,NA,"M","24","Sotho","3","d","0"
"47","POSPRO","A","2026-01-07_12h04.36.450","15.5253","93.1012","22.9618","1","1","256.3628","11.2033","0","Win32","0.0032",NA,NA,NA,NA,NA,NA,"I said no because there were times were the YELLOWPOPS ate the Fluffberry but did not change color so my conclusion is that there might be something that affects their color but its not fluffberry","17.8692","80","21.0364","20","33.215","0",NA,NA,NA,NA,"FALSE","21","Sesotho English Isizulu Spedi Setswana ","6","c","0"
"48","POSPRO","A","2026-01-07_12h06.10.867","125.6612","137.1292","38.8834","0.814127604","0.701822917","868.0953","14.9235","1","Win32","20.9049","6",NA,NA,NA,NA,NA,"in the trial, there were more times that the yellowpops would not eat the fluffberry and would change color anyway, given the fact that they ate the fluffberry and changed colors eitherway, i concluded that the fluffberry was effective afterall, there rating it at 6 on the scale","170.5775","57","79.168","83","18.202","31",NA,NA,NA,NA,"M","24","IsiZulu, English","3","b","1"
"49","POSPRO","A","2026-01-07_12h07.12.276","59.5362","66.5103","17.8635","0.384440104","0.880859375","348.6612","20.9486","1","Win32","14.3588","8",NA,NA,NA,NA,NA,"Majority of the time, the fluffberry was effective in changing the yellowpops color but sometimes it was not as effective. i would give it an 80/20 percentage of effectiveness
","56.5266","2","20.1116","84","22.7308","15",NA,NA,NA,NA,"M","24","Tsonga","5","a","1"
"50","POSPRO","A","2026-01-07_12h07.52.469","9.1255","41.287","20.3975","0.655092593","0.798611111","200.7109","2.7777","1","Win32","10.6741","7",NA,NA,NA,NA,NA,"While there were a bunch of yellowpops that didn't eat the fluffberry and still changed colors, the ones that did eat the fluffberry and changed colors were a lot more than those who didn't and changed","17.4032","40","14.5494","80","12.1115","30",NA,NA,NA,NA,"M","20","Greek","7","d","0"
"51","POSPRO","A","2026-01-07_12h08.16.034","17.8072","436.4722","23.694","0.168981499","1","265.6801","11.9543","1","Win32","9.6398","8",NA,NA,NA,NA,NA,"I observed that when the Yellowpop eats a Fluffberry it changes colour most of them time. But I can't confirm the colour change is caused by Fluffberry because when they don't eat it , their colour still changes even when they didn't eat it. It could be that the Yellowpop changes colour naturally and it is only a coincidence that the colour changes after eating the Fluffberry.","23.9096","0","30.0444","75","23.6945","80",NA,NA,NA,NA,"FALSE","24","Setswana","9","c","0"
"52","POSPRO","A","2026-01-07_12h09.58.331","39.9598","59.6348","17.6146","0.804427342","0.73618879","309.194","4.3326","1","Win32","10.0495","8",NA,NA,NA,NA,NA,"It is effective but not 100%, they can also change color without eating it but that is only in a small percentage. ","19.5528","31","12.8367","70","12.1664","30",NA,NA,NA,NA,"FALSE","24","English, Siswati","0","a","1"
"53","POSPRO","A","2026-01-07_12h15.16.054","27.0725","140.835","33.0226","1","1","307.444","4.6121","1","Win32","19.6144","9",NA,NA,NA,NA,NA,"The fluffberry does have an effect in changing the colour of the yellow pop but not always, it was almost like 90% of the time it changed colour.","18.9818","30","17.7663","84","16.5665","40",NA,NA,NA,NA,"FALSE","22","Setswana, English, Zulu","5","a","1"
"54","POSPRO","A","2026-01-07_12h18.27.344","41.269","102.0596","27.5054","0.657877604","0.902018229","378.3701","8.5227","1","Win32","14.0669","6",NA,NA,NA,NA,NA,"The fluffberry changed colour when it was eaten by the yellowpop more than when the yellowpop had not eaten the fluffberry.","28.7731","60","146.7212","70","14.2654","41",NA,NA,NA,NA,"FALSE","24","English","5","d","0"
"56","POSPRO","A","2026-01-07_12h57.17.163","24.4694","45.9951","31.2837","0.503472222","0.637731552","286.3468","6.0321","0","Win32","0.0016",NA,NA,NA,NA,NA,NA,"I considered the inconsistencies in the outcomes of the Yellowpops eating or not eating the fluffberries. There are times they'd eat it and change color while in other cases they still ate them but didn't change color","39.2776","0","17.2962","50","15.0309","50",NA,NA,NA,NA,"M","21","English and Swahili","0","c","0"
"57","POSPRO","A","2026-01-07_12h58.46.398","95.6402","180.4422","31.2795","0.054398166","0.998842663","295.2796","8.9383","1","Win32","15.4146","7",NA,NA,NA,NA,NA,"I considered the amount of color change in the observation phase, where the color changed most often when the fluffberry was eaten.","24.0901","0","11.9018","80","20.6585","32",NA,NA,NA,NA,"FALSE","24","English","1","d","0"
"58","POSPRO","A","2026-01-07_13h03.43.573","56.619","198.1169","28.1812","1","0.818713874","425.5674","5.5377","0","Win32","0.002",NA,NA,NA,NA,NA,NA,"I think the fluffberry  was just food and it didn't actually make it change color","14.8311","13","11.5141","34","16.7354","73",NA,NA,NA,NA,"M","22","English","0","b","0"
"59","POSPRO","A","2026-01-07_14h47.48.880","16.1037","136.3903","19.8125","1","0.770833351","335.0096","6.7429","1","Win32","5.4508","8",NA,NA,NA,NA,NA,"if it ate the fluffberry then I click it changed the colour otherwise it did not change the colour.","86.4968","88","16.2222","74","13.1942","13",NA,NA,NA,NA,"M","21","Hindi","3","d","0"
"60","POSPRO","A","2026-01-07_17h07.21.666","53.2183","65.4022","28.3133","0.783059376","0.624546083","171.8768","8.0211","1","Win32","13.9127","6",NA,NA,NA,NA,NA,"I mean most of the time, when the creature eats that berry, it changes. But sometimes it won't change at all. Sometimes, even if the creature hasn't eaten any berries, it still changes. So I guess it's something about the emotion. Like that fruit raise their emotions. Good ones can make them feel happy and change their color and vice versa.","13.9627","60","14.8042","70","23.8633","5",NA,NA,NA,NA,"M","21","Vietnamese","6","d","0"
"62","POSPRO","A","2026-01-07_23h02.14.044","27.2076","60.2831","35.5959","0.501736111","1","233.8858","5.1539","0","Win32","0.0013",NA,NA,NA,NA,NA,NA,"My expectation was that the Fluffberrys made the Yellowpops change colour however there were too many instances where this was not the case. Also sometimes they didn't eat them and still changed colour.","24.6368","40","15.2244","95","26.6714","5",NA,NA,NA,NA,"FALSE","23","English","0","a","1"
"63","POSPRO","A","2026-01-08_03h53.18.784","9.8481","56.2462","10.2256","0.926566002","1","274.5972","3.6664","0","Win32","0.0011",NA,NA,NA,NA,NA,NA,"In most cases, the reasoning was effective, but there were some cases where they didn't eat the fluffberry and their color still changed, or they did eat, and their color didn't change. So there must be some other cause for changing colors that satisfy all cases.","12.3441","27","12.6342","81","14.8616","54",NA,NA,NA,NA,"FALSE","24","urdu","2","d","0"
"64","POSPRO","L","2026-01-08_09h28.10.547","11.6366","38.8377","29.3347","0.336805573","0.505787037","200.2154","4.1157","1","Win32","18.899","6",NA,NA,NA,"After viewing the records, it appeared the system was effective in shutting down the machine around 70-80% of the time when activated. In reality, that is fairly unpredictable and not a reliable system. I did not realize I would be able to explain my choice; I would have rated it's effectiveness around a 2 instead of the 6 I put.",NA,NA,"22.4661","95","11.8321","99","9.9521","1",NA,NA,NA,NA,"M","23","English","0","b","1"
"65","POSPRO","A","2026-01-08_09h36.34.367","14.577","51.342","11.861","0.892094017","0.808760684","218.092","6.062","1","MacIntel","11.111","8",NA,NA,NA,NA,NA,"I gave the answer 8, indication 80% accuracy with fluffberry chanching yellowpop colour, because it wasnt a 100% accurate and it wouldn’t chance its colour personally i felt about 20% of the time","16.049","2","11.827","88","10.365","0",NA,NA,NA,NA,"FALSE","22","malayalam","2","a","1"
"66","POSPRO","A","2026-01-08_10h42.49.596","31.6623","137.0542","25.2879","1","0.78125","247.187","8.9638","1","Linux armv81","30.106","8",NA,NA,NA,NA,NA,"I considered the numbers or the ratios. The number of Yellowpops who ate the Fluffberry and changed was far greater than those who ate the fluffberry but did not change. On the other hand, the number of Yellowpops who did not eat the fluffberry fruit and didn't change was higher than the number of those who did not eat the fluffberry but changed colour. 

So, most of the Yellowpops that ate the fluffberry fruit changed colour while most of those who did not eat it did not change colour. This is further proved by the fact that, very few Yellowpops who ate the fruit did not change color AND also very few of those who did not eat it but changed colour.
","45.6622","30","29.6931","86","29.8379","10",NA,NA,NA,NA,"M","22","IsiZulu and English","0","a","1"
"67","POSPRO","A","2026-01-08_10h48.08.844","17.6277","69.0079","30.5664","0.945963542","0.872721354","266.456","8.0759","1","Win32","22.5267","8",NA,NA,NA,NA,NA,"Mostly when the yellowpop ate the fluffberry, it changed its color which made me think the fluffberry was effective. It was only in few cases the yellowpop did not  change color after eating the fluffberry which might have been as a result of the amount or quality of the fluffberry eaten.","23.3464","50","18.0785","80","29.9362","20",NA,NA,NA,NA,"M","22","Zulu","4","d","0"
"68","POSPRO","A","2026-01-08_10h49.23.743","21.4393","86.6721","33.3742","0.912037108","0.7789353","282.6478","7.9026","1","Win32","21.0484","7",NA,NA,NA,NA,NA,"i jus use simple mind to think that some fliffberry we helping the reactions of changing colours","30.7238","21","15.3561","24","20.7873","12",NA,NA,NA,NA,"FALSE","22","English,zulu","0","d","0"
"70","POSPRO","L","2026-01-08_11h00.37.742","79.1657","125.1108","43.6229","0.604166667","0.762044271","376.7702","15.4787","1","Win32","22.7282","9",NA,NA,NA,"The times it did work the NZ-6 because there were more that were effective.",NA,NA,"26.8268","90","24.877","100","26.5447","0",NA,NA,NA,NA,"FALSE","24","Spanish.","9","d","0"
"72","POSPRO","L","2026-01-08_11h58.08.628","4.2","26.233","11.632","0.784276387","0.271490751","211.46","3.166","0","MacIntel","0.001",NA,NA,NA,NA,"I considered that the NZ-6 system was created ti stop the machine, so I assumed that is what it would always do. My reasoning was that if that was the point of the mechanism, then it should be guaranteed to always work.",NA,NA,"8.767","82","7.933","98","6.065","1",NA,NA,NA,NA,"FALSE","19","English","0","d","0"
